,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業種別商業販売額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,      Commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　　　 （単位：10億円）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(billion yen),,
,  商  業  計,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,　参 考 ,  参 考 １,　参 考 ２,,
,, 卸 売 業 計,,,,,,,,,,,,,,,,, 小 売 業 計,,,,,,,,,,(医薬品化粧品小売業、その他小売業の計),(自動車小売業､機械器具小売業、燃料小売業、、医薬品化粧品小売業、その他小売業の計),(燃料小売業、医薬品化粧品小売業、その他小売業の計),   Year,
,,,  各種商品, 繊  維  品,衣服･身の回り品,農畜産物･水産物,食料･飲料,  建築材料,  化学製品,鉱物･金属材料,機 械 器 具 卸 売 業,,　,　,　,家具･建具･じゅう器,医薬品･化粧品,  その他の,,  各種商品,織物･衣服･身の回り品,  飲食料品,  自 動 車,  機械器具,  燃    料,医薬品・化粧品,  そ の 他,　無 店 舗,,,,   and,
 　年  月,　,　,  卸 売 業, 卸  売  業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,　,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,  卸 売 業,  卸 売 業,  卸 売 業,　,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,,,,  Month,
,Total,Wholesale,"General
Merchandise","
Textiles","Apparel
  　     9,"45,125 ","37,793 ","10,383 ","1,073 ","1,501 ","3,907 ","2,703 ","1,829 ","1,347 ","5,097 ","5,931 ",…,…,…,…,591 ,916 ,"2,514 ","7,331 ",889 ,765 ,"2,276 ",701 ,323 ,…,…,…,…,…,"3,402 ","2,378 ",9月.,
  　    10,"39,593 ","31,867 ","4,158 ","1,092 ","1,573 ","4,078 ","2,660 ","1,894 ","1,374 ","5,068 ","5,706 ",…,…,…,…,634 ,979 ,"2,652 ","7,726 ","1,005 ",864 ,"2,327 ",707 ,333 ,…,…,…,…,…,"3,530 ","2,490 ",10月.,
  　    11,"41,503 ","33,669 ","5,720 ","1,041 ","1,441 ","4,245 ","2,800 ","1,903 ","1,359 ","5,301 ","5,608 ",…,…,…,…,649 ,967 ,"2,636 ","7,834 ","1,065 ",894 ,"2,325 ",702 ,368 ,…,…,…,…,…,"3,550 ","2,480 ",11月.,
      　12,"46,737 ","36,520 ","6,337 ","1,075 ","1,463 ","4,707 ","3,586 ","2,000 ","1,361 ","5,764 ","5,668 ",…,…,…,…,687 ,"1,084 ","2,788 ","10,216 ","1,744 ","1,202 ","3,072 ",758 ,455 ,…,…,…,…,…,"4,198 ","2,985 ",12月.,
  1982年1月,"36,077 ","28,972 ","5,475 ",991 ,978 ,"3,485 ","2,126 ","1,665 ","1,194 ","4,890 ","4,655 ",…,…,…,…,502 ,727 ,"2,283 ","7,105 ",958 ,844 ,"2,151 ",505 ,315 ,…,…,…,…,…,"3,152 ","2,332 ",1月.,1982
　　　　 2,"37,683 ","30,821 ","5,701 ","1,052 ","1,053 ","3,586 ","2,293 ","1,681 ","1,243 ","5,064 ","5,265 ",…,…,…,…,549 ,890 ,"2,443 ","6,862 ",839 ,691 ,"2,140 ",611 ,272 ,…,…,…,…,…,"3,192 ","2,309 ",2月.,
         3,"50,205 ","41,920 ","11,873 ","1,160 ","1,354 ","4,228 ","2,783 ","1,845 ","1,409 ","5,693 ","6,941 ",…,…,…,…,694 ,972 ,"2,969 ","8,285 ","1,062 ",883 ,"2,421 ",889 ,314 ,…,…,…,…,…,"3,920 ","2,716 ",3月.,
  　     4,"40,115 ","32,168 ","3,967 ","1,078 ","1,362 ","4,227 ","2,808 ","1,780 ","1,358 ","4,822 ","6,118 ",…,…,…,…,702 ,"1,065 ","2,879 ","7,946 ","1,022 ",856 ,"2,417 ",784 ,329 ,…,…,…,…,…,"3,652 ","2,539 ",4月.,
  　     5,"40,064 ","32,277 ","5,501 ","1,048 ","1,225 ","4,004 ","2,732 ","1,727 ","1,298 ","4,677 ","5,615 ",…,…,…,…,642 ,"1,053 ","2,756 ","7,787 ","1,008 ",861 ,"2,446 ",664 ,325 ,…,…,…,…,…,"3,473 ","2,483 ",May,
  　     6,"41,110 ","33,369 ","6,024 ","1,069 ","1,094 ","4,150 ","2,851 ","1,753 ","1,362 ","4,836 ","5,830 ",…,…,…,…,637 ,"1,028 ","2,736 ","7,741 ",994 ,828 ,"2,444 ",727 ,341 ,…,…,…,…,…,"3,475 ","2,407 ",6月.,
