Ⅰ．全国の分野・業種別ＤＩの推移,,,,　１．景気の現状判断(方向性）,,,,,,,,,　　（備考）,,"調査対象は2001年８月以降は2,050人（全国）。",,,,,,,
年月,合計,家計動向関連,小売関連,商店街・一般小売店,百貨店,スーパー,コンビニエンスストア,衣料品専門店,家電量販店,乗用車・自動車備品販売店,その他小売店,飲食関連,サービス関連,旅行・交通関連,通信会社,レジャー施設関連,その他サービス,住宅関連,企業動向関連,製造業,非製造業,雇用関連
2011-12-01,47.0,46.5,46.6,40.6,53.1,48.4,45.1,45.7,43.2,52.7,45.3,46.7,47.5,48.1,50.7,44.9,45.4,40.5,45.4,44.8,45.6,54.9
2012-01-01,44.1,42.8,42.6,36.0,48.2,40.7,37.5,39.6,36.4,62.5,40.7,41.7,43.4,43.9,48.0,44.9,35.9,44.2,42.6,43.3,42.2,55.5
2012-02-01,45.9,44.4,44.9,38.5,45.3,47.2,42.1,40.2,40.2,66.3,40.1,38.4,44.5,46.4,50.3,43.6,35.4,46.0,44.8,45.1,44.6,57.7
2012-03-01,51.8,51.1,49.9,44.6,56.3,43.6,48.5,44.0,49.3,64.5,50.6,49.1,53.7,55.6,56.6,51.1,48.4,53.0,51.0,52.2,50.9,58.1
2012-04-01,50.9,50.3,48.6,48.3,50.5,47.6,50.9,48.0,37.8,50.3,49.7,49.7,53.9,55.5,53.7,52.6,52.0,50.3,48.7,49.3,48.6,59.6
2012-05-01,47.2,46.4,44.8,41.7,46.3,44.5,50.3,42.9,40.5,46.8,45.3,44.0,49.4,49.5,51.3,52.3,44.2,50.0,45.9,45.9,46.1,55.2
2012-06-01,43.8,42.1,40.4,37.1,40.6,40.0,40.1,39.6,45.0,45.8,40.9,37.0,45.2,47.1,44.4,46.7,40.1,49.1,44.4,43.9,45.1,53.9
2012-07-01,44.2,42.8,40.2,36.5,38.9,41.5,44.9,34.1,54.5,38.1,43.2,42.1,46.7,46.4,52.4,44.4,43.6,49.7,44.8,43.1,46.6,52.1
2012-08-01,43.6,42.1,40.0,34.1,44.8,43.7,46.7,34.6,44.9,34.8,41.0,41.6,44.6,44.1,50.0,44.2,39.8,51.2,44.0,41.6,45.9,52.5
2012-09-01,41.2,40.2,38.3,36.6,39.7,40.0,40.9,33.2,42.6,37.5,37.5,39.8,42.1,39.2,48.4,44.4,39.1,48.5,40.0,37.3,42.1,50.8
2012-10-01,39.0,38.4,37.1,35.2,42.4,36.4,36.6,40.7,38.9,29.5,40.4,37.0,39.9,38.7,44.2,42.2,35.4,45.2,38.3,36.5,40.1,44.3
2012-11-01,40.0,39.2,38.1,34.0,48.9,39.6,35.4,36.1,37.8,30.9,40.9,36.6,40.7,38.4,48.1,43.2,34.8,45.4,40.6,40.6,40.7,44.5
2012-12-01,45.8,45.5,44.1,42.5,45.0,46.7,45.9,39.6,46.6,43.0,44.4,40.7,48.2,46.1,55.9,46.5,45.6,50.3,45.6,43.6,47.0,48.5
2013-01-01,49.5,48.3,47.3,43.4,52.2,46.5,42.5,43.0,49.3,59.8,42.9,44.5,49.5,48.4,53.7,51.1,45.2,56.6,50.2,47.2,52.5,55.3
2013-02-01,53.2,51.7,51.0,48.1,56.0,46.6,44.9,45.5,55.4,63.6,50.3,47.6,52.3,52.2,53.9,53.3,49.2,59.9,55.0,52.8,57.4,58.6
2013-03-01,57.3,56.9,55.6,50.5,65.6,52.1,54.3,52.6,55.4,63.7,52.5,58.6,57.7,59.1,58.6,56.3,54.9,63.8,56.1,54.3,57.8,63.1
2013-04-01,56.5,55.5,53.5,51.9,60.1,53.0,51.9,53.3,50.7,52.3,52.9,59.5,57.0,60.0,53.7,56.6,53.9,63.3,56.7,55.6,58.2,62.3
2013-05-01,55.7,54.4,53.3,51.5,60.4,51.6,53.1,51.6,57.2,52.4,50.0,53.1,55.5,56.3,59.5,55.2,49.6,60.4,57.1,56.2,58.0,61.7
2013-06-01,53.0,52.2,52.1,44.9,58.6,53.5,57.8,44.8,65.3,50.3,51.1,47.9,51.7,51.7,51.7,53.8,49.2,59.9,52.8,51.6,54.0,58.0
2013-07-01,52.3,50.6,50.0,44.3,48.0,53.3,60.8,43.8,57.4,47.8,52.0,46.0,51.3,53.8,49.0,52.2,47.2,58.4,54.5,53.9,55.3,58.1
2013-08-01,51.2,49.3,49.0,44.8,50.9,50.7,52.6,40.3,55.9,50.3,50.6,45.9,49.6,52.9,45.9,47.7,48.0,55.2,53.3,51.6,54.6,58.7
2013-09-01,52.8,50.6,50.5,46.1,53.4,53.4,44.1,45.3,56.4,57.3,51.7,43.5,49.8,50.7,51.0,50.0,45.8,61.6,55.9,52.6,58.7,60.3
2013-10-01,51.8,49.2,48.7,45.1,43.1,51.9,48.5,42.9,56.1,57.3,50.8,45.7,49.9,52.2,52.7,46.6,44.8,54.0,54.8,52.7,56.8,61.6
2013-11-01,53.5,51.3,52.3,45.1,53.7,55.8,50.3,41.8,62.5,62.6,53.2,48.1,51.0,51.4,54.3,54.8,42.6,45.5,56.3,57.3,55.9,61.3
2013-12-01,55.7,53.1,53.7,49.5,55.3,53.7,52.8,43.4,64.7,61.5,53.9,52.4,53.2,52.6,55.9,55.1,49.2,46.8,60.4,60.5,60.5,62.5
2014-01-01,54.7,52.2,54.0,45.0,62.6,52.8,48.8,42.6,65.4,70.1,52.0,45.7,50.5,51.2,51.0,54.6,43.9,50.0,57.7,57.7,57.5,64.2
2014-02-01,53.0,50.2,52.3,42.2,58.1,55.1,48.8,39.5,78.9,60.3,52.8,42.2,47.5,47.5,51.7,44.9,45.1,50.6,57.0,55.2,58.8,62.6
2014-03-01,57.9,57.0,60.7,53.7,77.0,65.0,56.3,50.8,86.5,47.0,61.6,48.8,52.5,51.2,57.9,49.6,52.5,50.3,58.4,57.0,59.6,62.8
2014-04-01,41.6,37.2,31.9,37.2,23.9,33.8,37.5,34.4,22.4,21.6,37.6,48.1,44.1,43.3,45.5,48.0,40.3,44.7,48.5,50.0,47.5,55.9
2014-05-01,45.1,42.1,39.2,40.6,37.1,42.0,48.2,39.3,27.0,31.2,40.9,43.7,47.7,46.6,50.4,50.8,44.0,43.4,47.4,47.9,46.9,59.3
2014-06-01,47.7,45.1,43.0,41.5,39.8,50.5,48.8,39.7,40.4,40.4,41.6,47.0,48.9,49.3,53.4,46.3,45.1,46.6,50.3,48.8,51.8,57.9
2014-07-01,51.3,49.4,48.2,42.9,53.0,51.8,52.8,44.7,54.7,44.5,46.3,49.1,51.5,52.4,51.4,54.9,46.2,51.2,53.9,53.9,53.6,57.7
2014-08-01,47.4,45.8,44.4,39.2,53.8,48.6,41.5,41.4,40.3,42.3,45.2,45.7,47.9,47.0,51.0,48.9,45.2,49.4,48.5,48.4,48.4,55.3
2014-09-01,47.4,46.7,46.2,40.7,54.7,46.8,46.3,42.7,44.4,48.2,45.2,43.5,48.4,47.6,52.9,50.0,43.1,46.8,47.9,47.3,48.4,51.2
2014-10-01,44.0,42.3,41.1,40.3,45.4,42.6,41.6,38.8,38.2,38.3,40.6,37.8,45.8,45.1,49.1,47.3,41.8,42.6,46.2,45.3,46.8,50.0
2014-11-01,41.5,39.5,37.6,34.9,38.6,37.2,40.2,35.3,37.1,40.1,38.2,38.6,44.0,43.8,45.9,47.6,38.3,39.1,44.6,44.9,44.5,47.6
2014-12-01,45.2,44.2,42.5,40.1,41.4,43.8,47.1,35.3,43.9,41.4,47.9,45.1,47.3,47.6,49.3,46.7,44.7,44.8,46.6,46.3,46.6,49.0
2015-01-01,45.6,43.9,42.9,38.4,40.8,44.1,47.2,39.3,40.3,51.1,43.2,39.7,46.6,46.5,48.4,46.8,44.0,46.6,46.7,45.5,47.6,54.8
2015-02-01,50.1,48.4,48.0,44.0,53.6,47.8,47.6,45.7,42.4,50.8,49.4,49.4,49.1,47.0,52.8,52.1,45.9,48.1,51.1,50.9,51.2,59.1
2015-03-01,52.2,50.9,48.9,48.9,46.8,47.5,51.8,43.5,50.7,49.7,52.3,55.0,54.7,55.0,59.6,54.2,48.4,47.8,52.7,50.9,54.0,59.4
2015-04-01,53.6,53.2,53.5,50.3,59.1,59.0,57.8,46.6,55.7,44.7,53.8,47.7,53.8,56.8,53.7,54.9,45.5,52.7,52.8,50.3,54.6,58.1
2015-05-01,53.3,53.6,52.7,50.0,56.1,57.1,57.9,47.0,55.9,45.1,53.0,52.6,55.7,57.7,52.9,59.2,50.4,52.8,50.2,47.5,52.7,58.5
2015-06-01,51.0,50.4,49.8,47.3,53.2,51.9,54.1,45.1,53.6,44.7,49.7,49.1,52.3,55.4,52.0,54.0,43.5,49.1,51.3,49.9,52.6,54.7
2015-07-01,51.6,50.8,50.5,46.4,50.9,54.1,59.3,42.9,57.6,48.0,49.7,48.8,53.3,56.6,52.2,53.6,45.4,44.8,52.4,51.1,53.6,55.7
2015-08-01,49.3,48.8,48.1,42.4,49.8,52.4,56.2,41.3,57.8,45.5,47.6,47.0,50.8,53.4,49.0,52.7,44.8,47.3,48.3,46.4,50.0,55.2
2015-09-01,47.5,47.0,45.7,42.9,47.5,50.5,47.3,41.4,38.6,45.2,47.5,43.8,50.5,52.4,49.7,53.9,43.4,45.4,46.9,45.1,48.5,52.7
2015-10-01,48.2,48.1,47.0,45.7,47.8,49.5,47.7,47.0,44.5,44.3,48.3,46.2,50.6,51.1,47.8,56.3,46.8,48.7,47.4,47.2,47.3,51.1
2015-11-01,46.1,44.4,41.4,41.9,34.4,42.4,45.2,35.8,38.3,44.9,46.1,44.6,49.2,49.5,49.4,54.2,43.0,49.1,47.8,47.9,47.4,54.0
2015-12-01,48.7,47.7,45.1,45.3,41.8,44.4,49.7,41.2,43.2,47.7,46.3,52.9,51.1,49.8,51.6,57.6,47.6,49.7,48.9,46.0,51.2,55.1
2016-01-01,46.6,45.6,45.1,40.3,41.4,49.3,48.6,40.7,44.9,52.6,45.1,45.0,46.9,45.7,49.7,51.2,42.3,45.6,45.9,45.2,46.6,54.8
2016-02-01,44.6,43.2,42.8,37.3,41.2,49.1,46.6,35.3,41.4,48.8,42.9,41.3,44.3,44.0,43.4,48.1,41.7,43.8,45.8,45.1,46.4,51.6
2016-03-01,45.4,44.3,42.4,40.3,38.1,45.7,45.1,39.4,41.7,47.7,42.4,42.8,47.6,49.2,48.0,47.6,43.1,48.1,46.5,45.9,46.6,50.8
2016-04-01,43.5,42.2,40.7,40.8,32.8,44.7,47.4,38.8,44.9,36.4,42.3,40.3,44.0,42.8,43.4,47.5,43.8,50.0,45.0,44.6,45.5,48.9
2016-05-01,43.0,41.9,40.5,38.8,32.6,42.3,45.4,41.0,51.5,40.2,42.9,41.1,44.1,43.8,46.7,45.8,40.0,45.9,43.5,41.9,45.1,49.3
2016-06-01,41.2,40.2,38.8,35.3,30.9,41.7,44.8,39.0,47.1,39.0,41.6,40.5,42.2,41.2,45.2,43.9,39.2,44.7,42.0,41.0,42.7,46.0
2016-07-01,45.1,44.5,43.5,39.6,44.4,42.3,49.4,37.9,46.4,47.1,43.3,43.9,46.8,46.2,51.0,45.6,44.3,44.6,45.2,44.3,46.2,49.2
2016-08-01,45.6,44.1,42.4,40.5,37.9,40.6,49.7,35.7,48.6,49.4,41.0,43.2,47.0,46.8,47.1,46.6,48.0,47.8,47.2,45.9,48.5,52.1
2016-09-01,44.8,42.6,40.8,38.6,35.3,37.5,43.0,37.7,47.9,49.1,45.1,39.7,46.2,43.9,50.7,45.8,46.9,45.4,48.2,48.0,48.6,52.2
2016-10-01,46.2,44.1,42.9,40.6,39.0,44.6,42.4,38.1,50.0,48.9,44.2,41.0,47.6,47.5,51.2,47.0,44.1,42.7,48.8,49.0,48.7,54.1
2016-11-01,48.6,47.1,46.8,45.2,48.9,47.1,42.7,43.0,50.0,51.2,47.6,46.1,48.2,50.2,50.0,47.1,42.5,46.2,50.8,52.3,49.5,53.9
2016-12-01,51.2,49.6,48.4,44.7,52.1,48.8,45.9,42.5,51.4,53.7,49.4,53.4,51.0,52.4,51.3,51.1,47.3,48.4,53.4,53.9,53.1,57.6
2017-01-01,48.6,47.0,47.2,42.9,56.1,46.7,42.8,33.6,49.3,54.8,48.0,46.2,46.6,47.2,48.4,50.0,39.2,48.1,49.7,49.6,50.1,56.8
2017-02-01,48.5,46.6,45.9,41.9,47.8,45.5,46.4,37.1,46.7,54.4,47.4,44.6,48.0,49.4,50.3,47.8,42.4,49.4,50.5,49.7,51.3,56.3
2017-03-01,50.6,49.7,48.0,45.3,50.7,45.8,49.4,42.5,50.0,53.5,47.7,49.7,53.4,54.2,55.9,52.8,49.3,47.1,50.6,50.4,51.0,56.7
2017-04-01,50.4,49.5,47.7,46.0,54.5,45.1,51.6,44.5,48.6,42.4,48.6,51.9,52.1,54.4,49.3,52.6,49.2,50.3,50.3,49.9,50.8,56.3
2017-05-01,50.1,48.9,47.9,45.8,54.3,42.1,53.5,44.2,54.2,45.3,47.1,48.6,50.8,53.1,46.0,55.7,45.8,49.3,51.2,49.9,52.4,55.5
2017-06-01,49.9,48.2,47.8,45.5,55.0,42.1,54.9,40.0,43.2,49.1,47.9,46.5,48.8,50.8,45.3,52.2,44.8,51.0,52.5,51.2,53.9,55.6
2017-07-01,51.0,49.8,49.2,44.9,50.2,44.4,54.1,42.2,69.7,52.2,50.6,47.2,51.7,52.4,50.6,53.3,49.6,49.0,52.3,51.4,53.2,56.4
2017-08-01,49.6,47.9,47.2,43.6,53.8,45.8,50.0,38.2,45.0,48.9,48.8,48.4,49.0,50.2,49.7,46.5,47.7,49.0,51.2,51.8,50.8,57.2
2017-09-01,49.6,48.2,48.2,43.7,56.9,49.3,46.9,45.2,43.2,50.6,46.3,46.6,48.3,46.9,50.6,51.1,46.2,48.7,51.5,51.7,51.7,55.2
2017-10-01,49.9,47.0,46.4,42.9,53.8,44.3,39.2,46.9,50.0,48.2,49.1,40.2,48.8,52.2,51.3,42.7,43.7,52.4,55.0,55.0,54.9,58.0
2017-11-01,52.4,50.5,50.2,48.2,58.4,48.4,44.2,45.7,54.7,51.2,50.9,49.4,52.0,53.8,53.8,54.9,42.8,48.1,54.8,55.4,54.3,59.7
2017-12-01,53.9,52.2,51.6,47.3,57.1,54.0,47.6,45.2,61.2,51.8,52.6,54.5,53.1,55.5,53.8,49.2,50.0,51.7,56.1,57.3,54.8,60.1
2018-01-01,49.1,46.8,46.8,40.3,48.5,48.9,41.8,38.8,53.9,56.5,49.7,44.4,47.1,48.9,48.1,47.7,41.0,48.0,51.4,51.5,51.8,59.4
2018-02-01,48.4,46.5,46.2,41.8,45.4,46.4,43.2,40.1,52.6,56.5,47.7,44.7,47.0,47.6,49.7,49.2,40.1,50.0,50.4,49.9,51.5,56.6
2018-03-01,51.7,50.9,49.5,47.1,51.6,45.9,45.3,47.1,52.6,58.0,51.4,50.8,53.5,54.3,57.4,51.2,48.9,51.8,51.9,51.6,52.5,56.9
2018-04-01,50.9,50.1,48.7,48.3,52.1,48.3,49.4,48.7,42.8,47.7,48.2,51.7,52.4,53.1,52.3,55.8,47.6,50.4,52.2,52.2,53.0,53.8
2018-05-01,47.7,46.2,44.6,43.3,44.8,45.7,42.9,41.8,49.3,47.7,44.0,47.8,48.1,48.1,49.7,51.2,43.4,49.0,49.8,47.6,52.2,53.6
2018-06-01,48.2,47.2,46.6,43.5,48.9,47.9,47.8,41.8,50.7,48.9,45.8,42.5,48.5,49.2,45.2,53.8,46.2,51.4,49.4,47.0,51.6,52.3
2018-07-01,47.5,45.9,47.1,40.0,39.9,50.2,58.2,41.4,62.5,51.9,45.8,41.9,43.9,43.3,47.8,42.0,42.5,49.7,49.8,48.8,50.6,52.8
2018-08-01,48.1,46.7,45.9,39.8,48.4,46.8,51.2,39.4,48.0,50.8,45.1,45.9,48.1,47.2,52.0,47.7,46.1,49.3,50.0,49.3,50.7,52.5
2018-09-01,47.3,45.6,46.5,41.3,44.4,51.7,45.1,39.8,50.7,53.6,48.8,42.2,44.5,42.5,50.0,44.2,43.0,46.4,49.8,47.4,51.7,52.9
